,data,icms,ipva,fundeb,comp,total,participacao
0,1995-01,281244.02,318905.0,4521.85,0.0,604670.86,0.0860128
1,1995-02,237653.16,122860.28,2768.75,0.0,363282.18,0.0860128
2,1995-03,317906.56,33729.69,5857.95,0.0,357494.2,0.0860128
3,1995-04,302607.66,12918.55,3205.29,0.0,318731.5,0.0860128
4,1995-05,347590.66,14748.54,6652.47,0.0,368991.67,0.0860128
5,1995-06,298684.93,11969.41,5344.75,0.0,315999.1,0.0860128
6,1995-07,299580.63,9118.47,4408.42,0.0,313107.52,0.0860128
7,1995-08,334529.09,12391.49,4073.35,0.0,350993.93,0.0860128
8,1995-09,300526.03,8365.0,4516.33,0.0,313407.35,0.0860128
9,1995-10,368601.93,10793.81,4134.85,0.0,383530.59,0.0860128
10,1995-11,306023.22,6912.38,4034.72,0.0,316970.33,0.0860128
11,1995-12,427376.37,4176.15,5504.54,0.0,437057.06,0.0860128
12,1996-01,359791.7,280519.43,5089.28,0.0,645400.41,0.08925713
13,1996-02,319151.94,144041.27,4855.2,0.0,468048.41,0.08925713
14,1996-03,355658.05,71452.42,4712.62,0.0,431823.09,0.08925713
15,1996-04,416947.17,49055.47,5209.46,0.0,471212.1,0.08925713
16,1996-05,383944.54,14597.04,5223.87,0.0,403765.45,0.08925713
17,1996-06,371632.05,17717.57,5570.39,0.0,394920.01,0.08925713
18,1996-07,453453.36,16645.65,5288.49,330.26,475717.76,0.08925713
19,1996-08,397388.99,14907.57,5521.43,0.0,417817.99,0.08925713
20,1996-09,388759.38,19691.28,3536.49,159.65,412146.79,0.08925713
21,1996-10,459317.06,12953.39,8258.74,33.08,480562.28,0.08925713
22,1996-11,409548.69,14877.04,6228.35,16.8,430670.88,0.08925713
23,1996-12,467613.0,13863.03,6144.54,18.34,487638.92,0.08925713
24,1997-01,423714.76,316616.33,5820.16,17.42,746168.67,0.09088829
25,1997-02,386479.09,159342.93,5837.47,0.0,551659.49,0.09088829
26,1997-03,384659.78,109504.93,5352.85,32.51,499550.06,0.09088829
27,1997-04,428454.94,52045.04,6005.55,17.26,486522.78,0.09088829
